dataset,fold,model,seed,accuracy,precision,recall,f1,threshold,threshold_percentile,training_time_sec,inference_time_sec,epochs_ran,final_train_loss,final_val_loss
batadal,0,cnn,7,0.7435549525101763,0.7050691244239631,0.5503597122302158,0.6181818181818182,0.0900320187211036,95.0,115.20041049999418,0.5323472999734804,39,0.082546385956172,0.0812319066861401
batadal,0,cnn,42,0.7883310719131614,0.8388888888888889,0.5431654676258992,0.6593886462882096,0.0942471101880073,95.0,78.37097759998869,0.4274096000008285,34,0.0841930327162388,0.0842376118120939
batadal,0,cnn,123,0.7734056987788331,0.7875647668393783,0.5467625899280576,0.6454352441613588,0.0907029286026954,95.0,87.2413098999532,0.4147162000299431,37,0.083998509977163,0.0828069548891938
batadal,0,cnn,999,0.7693351424694709,0.7842105263157895,0.5359712230215827,0.6367521367521367,0.0932782739400863,95.0,86.79007899999851,1.376896300003864,29,0.0855572302069315,0.0835618503067804
batadal,0,cnn,2026,0.6933514246947082,0.6007751937984496,0.5575539568345323,0.5783582089552238,0.086176224052906,95.0,66.88780879997648,0.3221309999935329,49,0.0807399036889755,0.0798269895755726
batadal,0,lstm,7,0.6716417910447762,0.8214285714285714,0.1654676258992805,0.2754491017964072,0.2824214994907379,95.0,328.3812231000047,0.8610924999811687,50,0.2337778314582827,0.2297620902890744
batadal,0,lstm,42,0.6512890094979648,0.8888888888888888,0.0863309352517985,0.1573770491803278,0.3006426692008972,95.0,210.64133429998765,1.0263603000203148,40,0.2413612620794381,0.2427554545195206
batadal,0,lstm,123,0.6580732700135685,0.8095238095238095,0.1223021582733813,0.2125,0.287154346704483,95.0,176.25228840002092,0.9061253999825568,40,0.2373821978493255,0.2340385039215502
batadal,0,lstm,999,0.6852103120759837,0.8833333333333333,0.1906474820143885,0.3136094674556213,0.293830543756485,95.0,205.35232310002905,0.9639397000428288,40,0.2358558614025187,0.2364790808895359
batadal,0,lstm,2026,0.6485753052917232,0.9130434782608696,0.0755395683453237,0.1395348837209302,0.2956397235393524,95.0,292.6458199999761,1.277237400005106,43,0.2418315282898618,0.2390166676562765
skab,0,cnn,7,0.5378513145965549,0.4582278481012658,0.2798969072164948,0.34752,0.0071829748339951,95.0,121.7442047999939,6.625114099995699,10,0.0012763925472275,0.0044066566479733
skab,1,cnn,7,0.5461993627674101,0.0,0.0,0.0,0.0107460459694266,95.0,189.0663175999653,1.771540299989283,9,0.0015167394507808,0.0005215544543368
skab,2,cnn,7,0.4948782153425904,0.0134228187919463,0.0020736132711249,0.0035922766052986,0.0018073425162583,95.0,298.7673948999727,1.435435999999754,15,0.0014231250131034,0.0005343230493357
skab,3,cnn,7,0.5902168897092755,0.6432432432432432,0.1844961240310077,0.2867469879518072,0.0009460913133807,95.0,524.6008013999672,1.644181400013622,28,0.0010804896664232,0.0003873493583871
skab,4,cnn,7,0.5481548154815482,0.0,0.0,0.0,0.0268861390650272,95.0,48.45547440001974,1.5361578000010925,6,0.0016643041245391,0.0042723228848538
skab,0,cnn,42,0.5419310970081596,0.466278101582015,0.2886597938144329,0.3565743393823623,0.0106077054515481,95.0,121.38504470000044,1.6136043000151403,6,0.0017540211733363,0.0014628262767893
skab,1,cnn,42,0.5436959490213928,0.0,0.0,0.0,0.0076821269467473,95.0,65.61127699998906,1.727589500020258,9,0.0015181368423615,0.0004961074621818
skab,2,cnn,42,0.5351695879808787,0.0,0.0,0.0,0.0027279322966933,95.0,193.4169461000129,2.054412600002252,19,0.0011292329315146,0.0005628745796101
skab,3,cnn,42,0.5237655745269958,0.2584269662921348,0.0356589147286821,0.0626702997275204,0.0012520069722086,95.0,186.85022319998825,5.39727270003641,17,0.001213056899424,0.0004197608334643
skab,4,cnn,42,0.5481548154815482,0.0,0.0,0.0,0.0151752429082989,95.0,101.11420120002003,2.1113096000044607,7,0.0016960977409564,0.0011011047918203
skab,0,cnn,123,0.5455575702629193,0.4733388022969647,0.2974226804123711,0.3653054764165875,0.0148282470181584,95.0,88.66652159998193,1.5548442999715917,6,0.0016364778782031,0.0009677847262176
skab,1,cnn,123,0.5589440145653164,0.0,0.0,0.0,0.005165085196495,95.0,143.84420480002882,1.938701700011734,15,0.0010776975540331,0.0005027375322019
skab,2,cnn,123,0.5358524926018666,0.0,0.0,0.0,0.006351850926876,95.0,75.49785589997191,1.609843100013677,9,0.0017122465806633,0.0006028005698699
skab,3,cnn,123,0.5133825565297646,0.0,0.0,0.0,0.0229589939117431,95.0,99.56922090001171,1.9127442999742923,6,0.0019182535752422,0.0023963170278975
skab,4,cnn,123,0.5481548154815482,0.0,0.0,0.0,0.0128177972510457,95.0,191.168261600018,1.6678271000273526,8,0.0014989109610091,0.0004850318273159
skab,0,cnn,999,0.5287851314596554,0.4389815627743634,0.2577319587628865,0.3247807729782397,0.0205452069640159,95.0,94.00593939999816,1.6682123999926262,6,0.0015101680389109,0.0018450851134088
skab,1,cnn,999,0.5446062812926719,0.0,0.0,0.0,0.0041412743739783,95.0,104.67353770002956,1.6243588999495842,14,0.0010387132593153,0.0014108090557446
skab,2,cnn,999,0.5440473480537218,0.0,0.0,0.0,0.0107551300898194,95.0,72.84956319996854,1.5528490000288002,10,0.0014903657692583,0.0012637481177262
skab,3,cnn,999,0.551915089986156,0.0,0.0,0.0,0.0121301878243684,95.0,250.7866120999679,2.008331100048963,11,0.0015149979573747,0.0025508683454287
skab,4,cnn,999,0.5481548154815482,0.0,0.0,0.0,0.0096955355256795,95.0,210.29199009999863,7.54382830002578,7,0.0016624613155927,0.0012105820861692
