datetime,changepoint,source_group,source_file
2020-03-09 10:14:33,0.0,valve1,0.csv
2020-03-09 10:14:34,0.0,valve1,0.csv
2020-03-09 10:14:35,0.0,valve1,0.csv
2020-03-09 10:14:36,0.0,valve1,0.csv
2020-03-09 10:14:37,0.0,valve1,0.csv
2020-03-09 10:14:38,0.0,valve1,0.csv
2020-03-09 10:14:39,0.0,valve1,0.csv
2020-03-09 10:14:40,0.0,valve1,0.csv
2020-03-09 10:14:41,0.0,valve1,0.csv
2020-03-09 10:14:42,0.0,valve1,0.csv
2020-03-09 10:14:43,0.0,valve1,0.csv
2020-03-09 10:14:44,0.0,valve1,0.csv
2020-03-09 10:14:45,0.0,valve1,0.csv
2020-03-09 10:14:46,0.0,valve1,0.csv
2020-03-09 10:14:47,0.0,valve1,0.csv
2020-03-09 10:14:48,0.0,valve1,0.csv
2020-03-09 10:14:49,0.0,valve1,0.csv
2020-03-09 10:14:50,0.0,valve1,0.csv
2020-03-09 10:14:52,0.0,valve1,0.csv
2020-03-09 10:14:53,0.0,valve1,0.csv
2020-03-09 10:14:54,0.0,valve1,0.csv
2020-03-09 10:14:55,0.0,valve1,0.csv
2020-03-09 10:14:56,0.0,valve1,0.csv
2020-03-09 10:14:57,0.0,valve1,0.csv
2020-03-09 10:14:58,0.0,valve1,0.csv
2020-03-09 10:14:59,0.0,valve1,0.csv
2020-03-09 10:15:00,0.0,valve1,0.csv
2020-03-09 10:15:01,0.0,valve1,0.csv
2020-03-09 10:15:02,0.0,valve1,0.csv
2020-03-09 10:15:03,0.0,valve1,0.csv
2020-03-09 10:15:04,0.0,valve1,0.csv
2020-03-09 10:15:05,0.0,valve1,0.csv
2020-03-09 10:15:06,0.0,valve1,0.csv
2020-03-09 10:15:07,0.0,valve1,0.csv
2020-03-09 10:15:08,0.0,valve1,0.csv
2020-03-09 10:15:09,0.0,valve1,0.csv
2020-03-09 10:15:10,0.0,valve1,0.csv
2020-03-09 10:15:11,0.0,valve1,0.csv
2020-03-09 10:15:12,0.0,valve1,0.csv
2020-03-09 10:15:13,0.0,valve1,0.csv
2020-03-09 10:15:15,0.0,valve1,0.csv
2020-03-09 10:15:16,0.0,valve1,0.csv
2020-03-09 10:15:17,0.0,valve1,0.csv
2020-03-09 10:15:18,0.0,valve1,0.csv
2020-03-09 10:15:19,0.0,valve1,0.csv
2020-03-09 10:15:20,0.0,valve1,0.csv
2020-03-09 10:15:21,0.0,valve1,0.csv
2020-03-09 10:15:22,0.0,valve1,0.csv
2020-03-09 10:15:23,0.0,valve1,0.csv
2020-03-09 10:15:24,0.0,valve1,0.csv
2020-03-09 10:15:25,0.0,valve1,0.csv
2020-03-09 10:15:26,0.0,valve1,0.csv
2020-03-09 10:15:27,0.0,valve1,0.csv
2020-03-09 10:15:28,0.0,valve1,0.csv
2020-03-09 10:15:29,0.0,valve1,0.csv
2020-03-09 10:15:30,0.0,valve1,0.csv
2020-03-09 10:15:31,0.0,valve1,0.csv
